country,happiness_score,happiness_rank,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,is_happy
Switzerland,7.587,1,1.39651,1.34951,0.94143,0.4078966831779054,0.29678,0.41978,2015,True
Iceland,7.561,2,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015,True
Denmark,7.527,3,0.9107543152940855,1.36058,0.87464,0.4078966831779054,0.34139,0.48357,2015,True
Norway,7.522,4,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015,True
Canada,7.427,5,0.9107543152940855,1.32261,0.90563,0.63297,0.45811,0.32957,2015,True
Finland,7.406,6,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015,True
Netherlands,7.378,7,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2015,True
New Zealand,7.286,9,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2015,True
Australia,7.284,10,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015,True
Israel,7.278,11,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,2015,True
Costa Rica,7.226,12,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,2015,True
Austria,7.2,13,1.33723,1.0761487544749853,0.89042,0.62433,0.33088,0.18676,2015,True
Mexico,7.187,14,1.02054,0.91451,0.6168077101280999,0.48181,0.14074,0.21312,2015,True
United States,7.119,15,1.39451,1.24711,0.86179,0.54604,0.2189538221756804,0.1589,2015,True
Brazil,6.983,16,0.98124,1.23287,0.69702,0.49049,0.14574,0.12493232866667803,2015,True
Luxembourg,6.946,17,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,2015,True
Ireland,6.94,18,1.33596,1.0761487544749853,0.89533,0.61777,0.45901,0.28703,2015,True
Belgium,6.937,19,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2015,True
United Arab Emirates,6.901,20,0.9107543152940855,1.12575,0.80925,0.64157,0.2189538221756804,0.38583,2015,True
Oman,6.853,22,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,2015,True
Venezuela,6.81,23,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,2015,True
Singapore,6.798,24,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,2015,True
Panama,6.786,25,1.06353,1.1985,0.79661,0.5421,0.2189538221756804,0.0927,2015,True
Germany,6.75,26,1.32792,1.29937,0.89186,0.4078966831779054,0.28214,0.21843,2015,True
Chile,6.67,27,0.9107543152940855,1.12447,0.6168077101280999,0.44132,0.33363,0.12869,2015,True
Qatar,6.611,28,1.69042,1.0786,0.6168077101280999,0.4078966831779054,0.32573,0.52208,2015,True
France,6.575,29,1.27778,1.26038,0.94579,0.55011,0.12332,0.12493232866667803,2015,True
Argentina,6.574,30,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2015,True
Czech Republic,6.505,31,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,2015,True
Uruguay,6.485,32,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,2015,True
Colombia,6.477,33,0.91861,1.24018,0.69077,0.53466,0.2189538221756804,0.0512,2015,True
Thailand,6.455,34,0.9669,1.26504,0.7385,0.4078966831779054,0.5763,0.03187,2015,True
Saudi Arabia,6.411,35,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,2015,True
Spain,6.329,36,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,2015,True
Malta,6.302,37,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,2015,True
Kuwait,6.295,39,1.55422,1.0761487544749853,0.72492,0.55499,0.16228,0.12493232866667803,2015,True
Suriname,6.269,40,0.99534,1.0761487544749853,0.6082,0.59657,0.16991,0.13633,2015,True
Trinidad And Tobago,6.168,41,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,2015,True
El Salvador,6.13,42,0.76454,1.02507,0.67737,0.4035,0.10692,0.12493232866667803,2015,True
Guatemala,6.123,43,0.74553,1.0761487544749853,0.64425,0.57733,0.2189538221756804,0.09472,2015,True
Uzbekistan,6.003,44,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,2015,True
Slovakia,5.995,45,1.16891,1.26999,0.78902,0.31751,0.2189538221756804,0.03431,2015,True
Japan,5.987,46,1.27074,1.25712,0.99111,0.4078966831779054,0.10705,0.1806,2015,True
South Korea,5.984,47,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857,2015,True
Ecuador,5.975,48,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,True
Bahrain,5.96,49,1.32376,1.21624,0.74716,0.45492,0.2189538221756804,0.306,2015,True
Italy,5.948,50,1.25114,1.19777,0.6168077101280999,0.26236,0.22823,0.02901,2015,True
Bolivia,5.89,51,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2015,True
Moldova,5.889,52,0.59448,1.01528,0.6168077101280999,0.32818,0.20951,0.01615,2015,True
Paraguay,5.878,53,0.9107543152940855,1.30477,0.66098,0.53899,0.3424,0.08242,2015,True
Kazakhstan,5.855,54,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015,True
Slovenia,5.848,55,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,2015,True
Lithuania,5.833,56,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015,True
Nicaragua,5.828,57,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2015,True
Peru,5.824,58,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2015,True
Belarus,5.813,59,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,True
Malaysia,5.77,61,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,2015,True
Croatia,5.759,62,1.08254,0.79624,0.78805,0.25883,0.2189538221756804,0.12493232866667803,2015,True
Libya,5.754,63,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2015,True
Russia,5.716,64,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2015,True
Jamaica,5.709,65,0.81038,1.15102,0.68741,0.50442,0.2189538221756804,0.02299,2015,True
North Cyprus,5.695,66,1.20806,1.07008,0.92356,0.4078966831779054,0.26169,0.12493232866667803,2015,True
Cyprus,5.689,67,1.20813,0.89318,0.92356,0.4078966831779054,0.30638,0.06146,2015,True
Algeria,5.605,68,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015,True
Kosovo,5.589,69,0.80148,0.81198,0.6168077101280999,0.24749,0.2831,0.04741,2015,True
Turkmenistan,5.548,70,0.95847,1.0761487544749853,0.53886,0.4761,0.16979,0.30844,2015,True
Mauritius,5.477,71,1.00761,0.98521,0.7095,0.4078966831779054,0.37744,0.07521,2015,True
Hong Kong,5.474,72,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015,True
Estonia,5.429,73,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015,True
Indonesia,5.399,74,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,2015,True
Vietnam,5.36,75,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2015,True
Turkey,5.332,76,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015,True
Kyrgyzstan,5.286,77,0.47428,1.0761487544749853,0.65088,0.43477,0.2189538221756804,0.04232,2015,False
Bhutan,5.253,79,0.77042,1.10395,0.6168077101280999,0.53206,0.47998,0.15445,2015,False
Azerbaijan,5.212,80,0.9107543152940855,0.93793,0.64045,0.4078966831779054,0.07799,0.16065,2015,False
