country,Region
Finland,Western Europe
Norway,Western Europe
Denmark,Western Europe
Iceland,Western Europe
Switzerland,Western Europe
Netherlands,Western Europe
Canada,North America
New Zealand,Oceania
Sweden,Western Europe
Australia,Oceania
United Kingdom,Western Europe
Austria,Western Europe
Costa Rica,Central America & Caribbean
Ireland,Western Europe
Germany,Western Europe
Belgium,Western Europe
Luxembourg,Western Europe
United States,North America
Israel,Middle East & North Africa
United Arab Emirates,Middle East & North Africa
Czech Republic,Eastern Europe & Balkans
Malta,Western Europe
France,Western Europe
Mexico,North America
Chile,South America
Taiwan,East Asia
Panama,Central America & Caribbean
Brazil,South America
Argentina,South America
Guatemala,Central America & Caribbean
Uruguay,South America
Qatar,Middle East & North Africa
Saudi Arabia,Middle East & North Africa
Singapore,Southeast Asia
Malaysia,Southeast Asia
Spain,Western Europe
Colombia,South America
Trinidad & Tobago,Central America & Caribbean
Slovakia,Eastern Europe & Balkans
El Salvador,Central America & Caribbean
Nicaragua,Central America & Caribbean
Poland,Eastern Europe & Balkans
Bahrain,Middle East & North Africa
Uzbekistan,Central Asia
Kuwait,Middle East & North Africa
Thailand,Southeast Asia
Italy,Western Europe
Ecuador,South America
Belize,Central America & Caribbean
Lithuania,Eastern Europe & Balkans
Slovenia,Eastern Europe & Balkans
Romania,Eastern Europe & Balkans
Latvia,Eastern Europe & Balkans
Japan,East Asia
Mauritius,Sub-Saharan Africa
Jamaica,Central America & Caribbean
South Korea,East Asia
Northern Cyprus,Eastern Europe & Balkans
Russia,Eastern Europe & Balkans
Kazakhstan,Central Asia
Cyprus,Eastern Europe & Balkans
Bolivia,South America
Estonia,Eastern Europe & Balkans
Paraguay,South America
Peru,South America
Kosovo,Eastern Europe & Balkans
Moldova,Eastern Europe & Balkans
Turkmenistan,Central Asia
Hungary,Eastern Europe & Balkans
Libya,Middle East & North Africa
Philippines,Southeast Asia
Honduras,Central America & Caribbean
Belarus,Eastern Europe & Balkans
Turkey,Middle East & North Africa
Pakistan,South Asia
Hong Kong,East Asia
Portugal,Western Europe
Serbia,Eastern Europe & Balkans
Greece,Western Europe
Lebanon,Middle East & North Africa
Montenegro,Eastern Europe & Balkans
Croatia,Eastern Europe & Balkans
Dominican Republic,Central America & Caribbean
Algeria,Middle East & North Africa
Morocco,Middle East & North Africa
China,East Asia
Azerbaijan,Eastern Europe & Balkans
Tajikistan,Central Asia
Macedonia,Eastern Europe & Balkans
Jordan,Middle East & North Africa
Nigeria,Sub-Saharan Africa
Kyrgyzstan,Central Asia
Bosnia and Herzegovina,Eastern Europe & Balkans
Mongolia,East Asia
Vietnam,Southeast Asia
Indonesia,Southeast Asia
Bhutan,South Asia
Somalia,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Bulgaria,Eastern Europe & Balkans
Nepal,South Asia
Venezuela,South America
Gabon,Sub-Saharan Africa
Palestinian Territories,Middle East & North Africa
South Africa,Sub-Saharan Africa
Iran,Middle East & North Africa
Ivory Coast,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Laos,Southeast Asia
Tunisia,Middle East & North Africa
Albania,Eastern Europe & Balkans
Sierra Leone,Sub-Saharan Africa
Congo (Brazzaville),Sub-Saharan Africa
Bangladesh,South Asia
Sri Lanka,South Asia
Iraq,Middle East & North Africa
Mali,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Cambodia,Southeast Asia
Burkina Faso,Sub-Saharan Africa
Egypt,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Georgia,Eastern Europe & Balkans
Armenia,Eastern Europe & Balkans
Myanmar,Southeast Asia
Chad,Sub-Saharan Africa
Congo (Kinshasa),Sub-Saharan Africa
India,South Asia
Niger,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Ukraine,Eastern Europe & Balkans
Togo,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Angola,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Afghanistan,South Asia
Botswana,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Haiti,Central America & Caribbean
Liberia,Sub-Saharan Africa
Syria,Middle East & North Africa
Rwanda,Sub-Saharan Africa
Yemen,Middle East & North Africa
Tanzania,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
North Macedonia,Eastern Europe & Balkans
Gambia,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Somaliland region,Sub-Saharan Africa
Puerto Rico,Central America & Caribbean
Suriname,Central America & Caribbean
Trinidad and Tobago,Central America & Caribbean
North Cyprus,Eastern Europe & Balkans
Oman,Middle East & North Africa
Djibouti,Middle East & North Africa
Taiwan Province of China,East Asia
"Hong Kong S.A.R., China",East Asia
